Time Elapsed (s),X Position (m),Y Position (m),Eccentric Anomaly (rad),Orbital Radius (m),Orbital Velocity (m/s),Gravitational Potential Energy (J),Kinetic Energy (J),Mechanical Energy (J)
11714096.454800256,-107037178467.91348,106998099428.58583,2.344499715275251,151345798936.41415,29616.59102652001,-5.238294795199974e+33,2.619147397599987e+33,-2.619147397599987e+33
11819628.855293952,-109237033639.51584,104804307374.24991,2.3652687835655537,151382536517.7799,29612.997124715752,-5.237023563486705e+33,2.6185117817433526e+33,-2.6185117817433526e+33
11925161.255787648,-111390336759.5625,102565852082.39397,2.386032865357882,151418496679.8847,29609.48054176002,-5.235779830254512e+33,2.6178899151272554e+33,-2.6178899151272566e+33
12030693.656281345,-113496203987.63608,100283718619.35634,2.4067920706315284,151453664662.59354,29606.042638300885,-5.234564066905715e+33,2.617282033452858e+33,-2.617282033452857e+33
12136226.056775039,-115553772186.35902,97958908581.54083,2.4275465112113124,151488026051.51218,29602.684741092,-5.233376732854235e+33,2.6166883664271173e+33,-2.6166883664271173e+33
12241758.457268735,-117562199190.41931,95592439668.25893,2.448296300719887,151521566782.48,29599.408142721535,-5.232218275449278e+33,2.616109137724638e+33,-2.6161091377246394e+33
12347290.857762432,-119520664067.20894,93185345251.93457,2.469041554529755,151554273145.9224,29596.2141013532,-5.2310891299031e+33,2.61554456495155e+33,-2.61554456495155e+33
12452823.258256128,-121428367369.13445,90738673945.81273,2.4897823897150047,151586131791.06454,29593.103840479012,-5.229989719222668e+33,2.614994859611334e+33,-2.614994859611334e+33
12558355.658749824,-123284531377.65717,88253489169.30824,2.510518925002783,151617129730.0069,29590.078548683494,-5.228920454145072e+33,2.614460227072536e+33,-2.614460227072536e+33
12663888.059243519,-125088400339.12392,85730868711.12534,2.5312512807245193,151647254341.6634,29587.139379418946,-5.227881733076579e+33,2.61394086653829e+33,-2.613940866538289e+33
12769420.459737215,-126839240692.4485,83171904290.2746,2.5519795787669133,151676493375.5639,29584.287450791413,-5.226873942035136e+33,2.613436971017568e+33,-2.613436971017568e+33
12874952.860230912,-128536341288.70477,80577701115.10742,2.572703942522704,151704834955.52136,29581.523845357155,-5.225897454596229e+33,2.6129487272981137e+33,-2.612948727298115e+33
12980485.260724608,-130179013602.69249,77949377440.48488,2.5934244968412288,151732267583.16495,29578.849609929133,-5.224952631841919e+33,2.6124763159209594e+33,-2.6124763159209594e+33
13086017.661218304,-131766591936.53685,75288064123.1916,2.614141367978786,151758780141.34018,29576.26575539333,-5.224039822312972e+33,2.612019911156486e+33,-2.612019911156486e+33
13191550.061712,-133298433615.38301,72594904175.70097,2.6348546835488165,151784361897.3769,29573.773256534536,-5.223159361963895e+33,2.6115796809819475e+33,-2.6115796809819475e+33
13297082.462205695,-134773919175.24564,69871052318.39491,2.655564572471907,151809002506.22662,29571.373051871287,-5.222311574120795e+33,2.6111557870603973e+33,-2.6111557870603973e+33
13402614.862699391,-136192452543.07323,67117674530.33345,2.67627116492564,151832692013.4693,29569.066043499737,-5.221496769441921e+33,2.61074838472096e+33,-2.610748384720961e+33
13508147.263193088,-137553461209.08646,64335947598.67058,2.696974592294283,151855420858.19174,29566.85309694606,-5.220715245880755e+33,2.610357622940377e+33,-2.610357622940378e+33
13613679.663686784,-138856396391.44836,61527058666.80126,2.717674987118342,151877179875.7372,29564.735041027256,-5.219967288651579e+33,2.609983644325789e+33,-2.60998364432579e+33
13719212.06418048,-140100733193.3235,58692204781.3282,2.7383724830439835,151897960300.32852,29562.71266771996,-5.219253170197345e+33,2.6096265850986724e+33,-2.6096265850986724e+33
13824744.464674175,-141285970752.38132,55832592437.92732,2.7590672147723305,151917753767.5648,29560.78673203705,-5.218573150159791e+33,2.609286575079896e+33,-2.609286575079895e+33
13930276.865167871,-142411632382.7981,52949437126.18918,2.7797593180086464,151936552316.79272,29558.95795191185,-5.217927475351676e+33,2.608963737675838e+33,-2.608963737675838e+33
14035809.265661567,-143477265709.8097,50043962873.511795,2.8004489294114094,151954348393.35385,29557.227008089587,-5.217316379731027e+33,2.6086581898655134e+33,-2.6086581898655134e+33
14141341.666155264,-144482442796.86597,47117401788.11141,2.8211361865412963,151971134850.70767,29555.594544026004,-5.216740084377335e+33,2.608370042188667e+33,-2.608370042188668e+33
14246874.06664896,-145426760265.436,44170993601.222435,2.8418212278100663,151986904952.43277,29554.061165792762,-5.21619879746956e+33,2.60809939873478e+33,-2.60809939873478e+33
14352406.467142656,-146309839407.51022,41205985208.5465,2.862504192429367,152001652374.1054,29552.627441989553,-5.215692714265902e+33,2.607846357132952e+33,-2.6078463571329506e+33
