Time Elapsed (s),Distance Between Both Masses (m),Distance of Star 1 from Barycenter (m),Distance of Star 2 from Barycenter (m),Scalar Velocity of Star 1 (m/s),Scalar Velocity of Star 2 (m/s),Kinetic Energy of Star 1 (J),Kinetic Energy of Star 2 (J),Total Kinetic Energy (J),Gravitational Potential Energy (J),Total Mechanical Energy (J),Acceleration of Star 1 (m/s^2),Acceleration of Star 2 (m/s^2),Relative Acceleration (m/s^2),Angular Velocity of Star 1 (rad/s),Angular Velocity of Star 2 (rad/s)
276826165.81264424,4015769235403.7085,2679642602881.4644,1336126632522.2444,7667.490796547115,3823.1735257789446,5.846706783200146e+37,2.915292000948882e+37,8.761998784149028e+37,-1.3186689943097894e+38,-4.424691158948863e+37,1.6509437001914314e-05,8.231955426625112e-06,2.4741392428539425e-05,2.861385614746584e-09,2.8613856147465835e-09
286053704.6730657,4041588027863.734,2696870967405.225,1344717060458.509,7630.543097430867,3804.750619400851,5.790494942796023e+37,2.8872635851645245e+37,8.677758527960548e+37,-1.310244968690941e+38,-4.424691158948863e+37,1.6299176970086003e-05,8.12711531549287e-06,2.442629228557887e-05,2.8294060745414674e-09,2.8294060745414674e-09
295281243.5334872,4067913722391.6123,2714437577554.39,1353476144837.2227,7593.171357863125,3786.116277460455,5.733914188788863e+37,2.8590512212336547e+37,8.592965410022518e+37,-1.3017656568971382e+38,-4.424691158948863e+37,1.608889781751162e-05,8.022265670351118e-06,2.4111163487862737e-05,2.7973276750406236e-09,2.797327675040624e-09
304508782.3939087,4094723258564.109,2732327045569.1255,1362396212994.984,7555.420342869681,3767.2928207490086,5.677041248638303e+37,2.8306931670949075e+37,8.50773441573321e+37,-1.2932425574682073e+38,-4.424691158948863e+37,1.5878908614337303e-05,7.91756060012958e-06,2.3796469214466882e-05,2.7651961924257635e-09,2.765196192425763e-09
313736321.25433016,4121993931751.898,2750524221103.7676,1371469710648.1309,7517.333125828288,3748.3017265661733,5.619949068938959e+37,2.8022257954674325e+37,8.422174864406391e+37,-1.2846866023355254e+38,-4.424691158948863e+37,1.566949729582532e-05,7.813143675456646e-06,2.3482640971281968e-05,2.733054691229598e-09,2.733054691229598e-09
322963860.11475164,4149703424388.3955,2769014212091.8887,1380689212296.507,7478.951056455216,3729.163612757439,5.56270680058759e+37,2.77368358645493e+37,8.33639038704252e+37,-1.2761081545991382e+38,-4.424691158948863e+37,1.546093098685601e-05,7.709148090462924e-06,2.3170079077318936e-05,2.7009435429387494e-09,2.7009435429387494e-09
332191398.9751731,4177829833298.5723,2787782402982.2695,1390047430316.3032,7440.313741382949,3709.898228029753,5.505379809307577e+37,2.7450991327933745e+37,8.250478942100952e+37,-1.2675170101049815e+38,-4.424691158948863e+37,1.5253456446947197e-05,7.605696884677356e-06,2.2859153331624554e-05,2.66890046132136e-09,2.6689004613213604e-09
341418937.8355946,4206351693281.574,2806814470475.109,1399537222806.4658,7401.459036172787,3690.524447968832,5.4480297086891e+37,2.71650315632555e+37,8.16453286501465e+37,-1.2589224023963514e+38,-4.424691158948863e+37,1.5047300617369509e-05,7.502903215830522e-06,2.255020383320003e-05,2.6369605522661938e-09,2.636960552266193e-09
350646476.6960161,4235247997152.94,2826096396895.798,1409151600257.1426,7362.4230476187795,3671.060276187955,5.39071441298816e+37,2.687924534327764e+37,8.078638947315924e+37,-1.2503330106264788e+38,-4.424691158948863e+37,1.4842671252997113e-05,7.400870674908814e-06,2.224354192790593e-05,2.6051563760194846e-09,2.6051563760194846e-09
359874015.55643755,4264498212460.2505,2845614481348.9365,1418883731111.3147,7323.240145227003,3651.5228500517696,5.333488207042876e+37,2.6593903343715924e+37,7.992878541414468e+37,-1.2417569700363333e+38,-4.424691158948863e+37,1.4639757622731098e-05,7.2996936354003896e-06,2.193945125813149e-05,2.573518019825191e-09,2.5735180198251914e-09
